"ï»¿""Plot Title: OM_WL3""",,,,,,,,
#,"Date Time, GMT-07:00","Abs Pres, kPa (LGR S/N: 20389410, SEN S/N: 20389410)","Temp, Â°C (LGR S/N: 20389410, SEN S/N: 20389410)",Coupler Detached (LGR S/N: 20389410),Coupler Attached (LGR S/N: 20389410),Host Connected (LGR S/N: 20389410),Stopped (LGR S/N: 20389410),End Of File (LGR S/N: 20389410)
433,9/2/18 2:00,96.587,24.255,,,,,
434,9/2/18 2:05,96.605,24.255,,,,,
435,9/2/18 2:10,96.623,24.255,,,,,
436,9/2/18 2:15,96.623,24.255,,,,,
437,9/2/18 2:20,96.623,24.255,,,,,
438,9/2/18 2:25,96.64,24.255,,,,,
439,9/2/18 2:30,96.64,24.255,,,,,
440,9/2/18 2:35,96.658,24.255,,,,,
441,9/2/18 2:40,96.64,24.255,,,,,
442,9/2/18 2:45,96.655,24.158,,,,,
443,9/2/18 2:50,96.673,24.158,,,,,
444,9/2/18 2:55,96.655,24.158,,,,,
445,9/2/18 3:00,96.655,24.158,,,,,
446,9/2/18 3:05,96.655,24.158,,,,,
447,9/2/18 3:10,96.655,24.158,,,,,
448,9/2/18 3:15,96.655,24.158,,,,,
449,9/2/18 3:20,96.653,24.062,,,,,
450,9/2/18 3:25,96.67,24.062,,,,,
451,9/2/18 3:30,96.67,24.062,,,,,
452,9/2/18 3:35,96.67,24.062,,,,,
453,9/2/18 3:40,96.67,24.062,,,,,
454,9/2/18 3:45,96.653,24.062,,,,,
455,9/2/18 3:50,96.67,24.062,,,,,
456,9/2/18 3:55,96.688,24.062,,,,,
457,9/2/18 4:00,96.688,24.062,,,,,
458,9/2/18 4:05,96.685,23.966,,,,,
459,9/2/18 4:10,96.685,23.966,,,,,
460,9/2/18 4:15,96.668,23.966,,,,,
461,9/2/18 4:20,96.685,23.966,,,,,
462,9/2/18 4:25,96.703,23.966,,,,,
463,9/2/18 4:30,96.703,23.966,,,,,
464,9/2/18 4:35,96.703,23.966,,,,,
465,9/2/18 4:40,96.7,23.869,,,,,
466,9/2/18 4:45,96.718,23.869,,,,,
467,9/2/18 4:50,96.7,23.869,,,,,
468,9/2/18 4:55,96.736,23.869,,,,,
469,9/2/18 5:00,96.736,23.869,,,,,
470,9/2/18 5:05,96.736,23.869,,,,,
471,9/2/18 5:10,96.751,23.773,,,,,
472,9/2/18 5:15,96.751,23.773,,,,,
473,9/2/18 5:20,96.751,23.773,,,,,
474,9/2/18 5:25,96.751,23.773,,,,,
475,9/2/18 5:30,96.768,23.773,,,,,
476,9/2/18 5:35,96.766,23.677,,,,,
477,9/2/18 5:40,96.783,23.677,,,,,
478,9/2/18 5:45,96.783,23.677,,,,,
479,9/2/18 5:50,96.783,23.677,,,,,
480,9/2/18 5:55,96.801,23.677,,,,,
481,9/2/18 6:00,96.819,23.677,,,,,
482,9/2/18 6:05,96.816,23.581,,,,,
483,9/2/18 6:10,96.816,23.581,,,,,
484,9/2/18 6:15,96.834,23.581,,,,,
485,9/2/18 6:20,96.834,23.581,,,,,
486,9/2/18 6:25,96.851,23.581,,,,,
487,9/2/18 6:30,96.851,23.581,,,,,
488,9/2/18 6:35,96.851,23.581,,,,,
489,9/2/18 6:40,96.849,23.484,,,,,
490,9/2/18 6:45,96.866,23.484,,,,,
491,9/2/18 6:50,96.884,23.484,,,,,
492,9/2/18 6:55,96.884,23.484,,,,,
493,9/2/18 7:00,96.884,23.484,,,,,
494,9/2/18 7:05,96.902,23.484,,,,,
495,9/2/18 7:10,96.884,23.484,,,,,
496,9/2/18 7:15,96.92,23.484,,,,,
497,9/2/18 7:20,96.92,23.484,,,,,
498,9/2/18 7:25,96.902,23.484,,,,,
499,9/2/18 7:30,96.902,23.484,,,,,
500,9/2/18 7:35,96.902,23.484,,,,,
501,9/2/18 7:40,96.905,23.581,,,,,
502,9/2/18 7:45,96.905,23.581,,,,,
503,9/2/18 7:50,96.905,23.581,,,,,
504,9/2/18 7:55,96.922,23.581,,,,,
505,9/2/18 8:00,96.905,23.581,,,,,
506,9/2/18 8:05,96.905,23.581,,,,,
507,9/2/18 8:10,96.922,23.581,,,,,
508,9/2/18 8:15,96.925,23.677,,,,,
509,9/2/18 8:20,96.925,23.677,,,,,
510,9/2/18 8:25,96.907,23.677,,,,,
511,9/2/18 8:30,96.907,23.677,,,,,
512,9/2/18 8:35,96.928,23.773,,,,,
513,9/2/18 8:40,96.945,23.773,,,,,
514,9/2/18 8:45,96.928,23.773,,,,,
515,9/2/18 8:50,96.928,23.773,,,,,
516,9/2/18 8:55,96.928,23.773,,,,,
517,9/2/18 9:00,96.91,23.773,,,,,
518,9/2/18 9:05,96.93,23.869,,,,,
